iter	Passed	Remaining
672	1443	701
673	1444	698
674	1445	695
675	1446	693
676	1447	690
677	1448	687
678	1448	684
679	1449	682
680	1450	679
681	1458	679
682	1460	677
683	1461	675
684	1462	672
685	1463	669
686	1464	667
687	1465	664
688	1466	661
689	1470	660
690	1472	658
691	1474	656
692	1474	653
693	1476	650
694	1477	648
695	1478	645
696	1478	642
697	1479	640
698	1480	637
699	1483	635
700	1487	634
701	1488	631
702	1489	629
703	1490	626
704	1491	624
705	1492	621
706	1493	618
707	1494	616
708	1495	613
709	1501	613
710	1503	610
711	1504	608
712	1505	606
713	1506	603
714	1507	600
715	1508	598
716	1509	595
717	1509	593
718	1515	592
719	1517	589
720	1518	587
721	1520	585
722	1521	582
723	1522	580
724	1523	578
725	1524	575
726	1530	574
727	1533	572
728	1534	570
729	1535	568
730	1537	565
731	1538	563
732	1539	560
733	1545	560
734	1547	557
735	1549	555
736	1550	553
737	1551	550
738	1553	548
739	1555	546
740	1561	545
741	1562	543
742	1564	541
743	1565	538
744	1567	536
745	1568	534
746	1570	531
747	1580	532
748	1581	530
749	1583	527
750	1584	525
751	1586	523
752	1592	522
753	1594	520
754	1596	517
755	1597	515
756	1598	513
757	1600	510
758	1601	508
759	1607	507
760	1608	505
761	1609	502
762	1611	500
763	1612	498
764	1613	495
765	1615	493
766	1616	491
767	1620	489
768	1622	487
769	1624	485
770	1626	483
771	1627	480
772	1628	478
773	1629	475
774	1630	473
775	1632	471
776	1638	470
777	1641	468
778	1642	465
779	1643	463
780	1645	461
781	1646	458
782	1647	456
783	1647	454
784	1654	453
785	1655	450
786	1656	448
787	1657	445
788	1658	443
789	1659	441
790	1660	438
791	1665	437
792	1666	435
793	1668	432
794	1669	430
795	1670	428
796	1671	425
797	1672	423
798	1673	420
799	1673	418
800	1674	416
801	1675	413
802	1680	412
803	1681	409
804	1682	407
805	1683	405
806	1684	402
807	1686	400
808	1687	398
809	1688	396
810	1689	393
811	1690	391
812	1701	391
813	1703	389
814	1704	386
815	1705	384
816	1706	382
817	1708	380
818	1710	378
819	1711	375
820	1712	373
821	1713	371
822	1714	368
823	1715	366
824	1715	363
825	1716	361
826	1717	359
827	1718	356
828	1724	355
829	1725	353
830	1727	351
831	1728	348
832	1729	346
833	1730	344
834	1731	342
835	1732	339
836	1732	337
837	1733	335
838	1738	333
839	1741	331
840	1742	329
841	1742	327
842	1743	324
843	1744	322
844	1745	320
845	1746	317
846	1747	315
847	1748	313
848	1748	311
849	1754	309
850	1755	307
851	1756	305
852	1758	302
853	1759	300
854	1759	298
855	1760	296
856	1761	293
857	1762	291
858	1763	289
859	1764	287
860	1772	286
861	1774	284
862	1775	281
863	1776	279
864	1777	277
865	1778	275
866	1779	272
867	1785	271
868	1787	269
869	1789	267
870	1791	265
871	1791	263
872	1792	260
873	1793	258
874	1794	256
875	1800	254
876	1802	252
877	1803	250
878	1804	248
879	1805	246
880	1806	243
881	1807	241
882	1807	239
883	1808	237
884	1809	235
885	1810	232
886	1818	231
887	1820	229
888	1821	227
889	1822	225
890	1823	223
891	1824	220
892	1825	218
893	1825	216
894	1832	214
895	1834	212
896	1835	210
897	1836	208
898	1837	206
899	1837	204
900	1838	202
901	1839	199
902	1840	197
903	1841	195
904	1847	193
905	1848	191
906	1849	189
907	1850	187
908	1851	185
909	1852	183
910	1853	181
911	1854	178
912	1855	176
913	1856	174
914	1861	172
915	1864	170
916	1865	168
917	1866	166
918	1867	164
919	1868	162
920	1868	160
921	1869	158
922	1870	156
923	1871	153
924	1877	152
925	1878	150
926	1880	148
927	1881	146
928	1882	143
929	1884	141
930	1885	139
931	1886	137
932	1893	135
933	1896	134
934	1897	131
935	1898	129
936	1899	127
937	1900	125
938	1901	123
939	1902	121
940	1907	119
941	1909	117
942	1910	115
943	1911	113
944	1912	111
945	1913	109
946	1914	107
947	1915	105
948	1916	102
949	1916	100
950	1921	98
951	1923	96
952	1924	94
953	1925	92
954	1926	90
955	1927	88
956	1928	86
957	1929	84
958	1930	82
959	1931	80
960	1931	78
961	1932	76
962	1937	74
963	1940	72
964	1941	70
965	1942	68
966	1943	66
967	1944	64
968	1944	62
969	1945	60
970	1950	58
971	1952	56
972	1955	54
973	1956	52
974	1957	50
975	1958	48
976	1959	46
977	1960	44
978	1961	42
979	1966	40
980	1967	38
981	1970	36
982	1971	34
983	1972	32
984	1973	30
985	1974	28
986	1975	26
987	1976	24
988	1982	22
989	1985	20
990	1986	18
991	1986	16
992	1987	14
993	1988	12
994	1989	9
995	1990	7
996	1991	5
997	1991	3
998	1995	1
999	1997	0
